Source_nodes	Target_nodes	Score	Source
ADGRF5	SFTPB	-1	Others
ADGRF5	SFTPC	-1	Others
ADH1A	ALDH3A1	1	Kegg
ADH1A	ALDH3B1	1	Kegg
ADH1A	UGT1A1	1	Kegg
ADH1A	UGT1A10	1	Kegg
ADH1A	UGT1A3	1	Kegg
ADH1A	UGT1A4	1	Kegg
ADH1A	UGT1A5	1	Kegg
ADH1A	UGT1A6	1	Kegg
ADH1A	UGT1A7	1	Kegg
ADH1A	UGT1A8	1	Kegg
ADH1A	UGT1A9	1	Kegg
ADH1A	UGT2A1	1	Kegg
ADH1A	UGT2A2	1	Kegg
ADH1A	UGT2A3	1	Kegg
ADH1A	UGT2B10	1	Kegg
ADH1A	UGT2B11	1	Kegg
ADH1A	UGT2B15	1	Kegg
ADH1A	UGT2B17	1	Kegg
ADH1A	UGT2B28	1	Kegg
ADH1A	UGT2B4	1	Kegg
ADH1A	UGT2B7	1	Kegg
ADH1B	ALDH3A1	1	Kegg
ADH1B	ALDH3B1	1	Kegg
ADH1B	UGT1A1	1	Kegg
ADH1B	UGT1A10	1	Kegg
ADH1B	UGT1A3	1	Kegg
ADH1B	UGT1A4	1	Kegg
ADH1B	UGT1A5	1	Kegg
ADH1B	UGT1A6	1	Kegg
ADH1B	UGT1A7	1	Kegg
ADH1B	UGT1A8	1	Kegg
ADH1B	UGT1A9	1	Kegg
ADH1B	UGT2A1	1	Kegg
ADH1B	UGT2A2	1	Kegg
ADH1B	UGT2A3	1	Kegg
ADH1B	UGT2B10	1	Kegg
ADH1B	UGT2B11	1	Kegg
ADH1B	UGT2B15	1	Kegg
ADH1B	UGT2B17	1	Kegg
ADH1B	UGT2B28	1	Kegg
ADH1B	UGT2B4	1	Kegg
ADH1B	UGT2B7	1	Kegg
ADH1C	ALDH3A1	1	Kegg
ADH1C	ALDH3B1	1	Kegg
ADH1C	UGT1A1	1	Kegg
ADH1C	UGT1A10	1	Kegg
ADH1C	UGT1A3	1	Kegg
ADH1C	UGT1A4	1	Kegg
ADH1C	UGT1A5	1	Kegg
ADH1C	UGT1A6	1	Kegg
ADH1C	UGT1A7	1	Kegg
ADH1C	UGT1A8	1	Kegg
ADH1C	UGT1A9	1	Kegg
ADH1C	UGT2A1	1	Kegg
ADH1C	UGT2A2	1	Kegg
ADH1C	UGT2A3	1	Kegg
ADH1C	UGT2B10	1	Kegg
ADH1C	UGT2B11	1	Kegg
ADH1C	UGT2B15	1	Kegg
ADH1C	UGT2B17	1	Kegg
ADH1C	UGT2B28	1	Kegg
ADH1C	UGT2B4	1	Kegg
ADH1C	UGT2B7	1	Kegg
ADH4	ALDH3A1	1	Kegg
ADH4	ALDH3B1	1	Kegg
ADH4	UGT1A1	1	Kegg
ADH4	UGT1A10	1	Kegg
ADH4	UGT1A3	1	Kegg
ADH4	UGT1A4	1	Kegg
ADH4	UGT1A5	1	Kegg
ADH4	UGT1A6	1	Kegg
ADH4	UGT1A7	1	Kegg
ADH4	UGT1A8	1	Kegg
ADH4	UGT1A9	1	Kegg
ADH4	UGT2A1	1	Kegg
ADH4	UGT2A2	1	Kegg
ADH4	UGT2A3	1	Kegg
ADH4	UGT2B10	1	Kegg
ADH4	UGT2B11	1	Kegg
ADH4	UGT2B15	1	Kegg
